uid,days online,views,contributions,questions,notes,answers
u01,29,299,5,1,1,0
u02,57,299,0,0,0,0
u04,27,101,1,1,0,0
u05,67,301,1,0,0,0
u07,43,201,12,1,0,0
u08,67,308,45,22,0,5
u09,36,171,20,4,3,4
u10,82,300,26,11,0,3
u12,44,127,6,1,1,0
u14,35,259,16,13,1,0
u15,38,187,5,1,0,0
u16,41,201,3,0,0,0
u17,57,306,26,11,2,4
u18,48,278,6,3,1,0
u19,70,301,20,4,0,6
u22,64,226,14,4,0,1
u24,27,149,4,0,0,0
u25,22,152,1,0,0,0
u27,66,299,7,1,0,1
u30,58,294,23,8,0,1
u32,51,299,5,2,0,0
u33,39,290,28,2,4,1
u41,72,236,27,15,0,2
u43,43,257,27,13,0,0
u46,68,302,14,7,0,1
u49,60,244,10,3,1,1
u52,42,208,0,0,0,0
u54,33,147,3,1,0,0
u57,50,299,17,3,1,3
u59,56,302,10,2,0,1
