uid,activity_id,activity_count
u00,1,30659
u00,3,18881
u00,2,8990
u01,1,20954
u01,2,9778
u01,3,5547
u02,1,29510
u02,3,11633
u02,2,678
u03,1,4623
u03,3,1503
u03,2,423
u04,1,33114
u04,2,15733
u04,3,14890
u05,1,16144
u05,3,12943
u05,2,1400
u07,1,14550
u07,3,8689
u07,2,5226
u08,1,24232
u08,2,7794
u08,3,6308
u09,1,25739
u09,3,11879
u09,2,3910
u10,1,15897
u10,3,5487
u10,2,4553
u12,3,14372
u12,1,14629
u12,2,5869
u13,3,12437
u13,1,11039
u13,2,3612
u14,1,37582
u14,3,6212
u14,2,3317
u15,3,8598
u15,1,8207
u15,2,681
u16,1,19653
u16,3,7087
u16,2,2668
u17,1,14980
u17,3,9218
u17,2,1897
u18,1,11704
u18,3,6585
u18,2,1352
u19,1,18658
u19,3,9299
u19,2,361
u20,1,8284
u20,3,2769
u20,2,422
u22,1,13632
u22,2,6462
u22,3,9765
u23,1,8613
u23,3,4831
u23,2,1015
u24,1,10438
u24,3,3006
u24,2,2886
u25,1,12750
u25,3,12287
u25,2,3583
u27,1,12892
u27,3,8711
u27,2,1620
u30,3,22286
u30,1,28153
u30,2,3354
u31,1,18930
u31,3,18513
u31,2,2875
u32,1,29127
u32,3,16204
u32,2,4483
u33,1,18132
u33,3,7797
u33,2,1999
u34,3,25727
u34,1,12531
u34,2,2054
u35,1,11688
u35,2,5271
u35,3,9034
u36,1,19311
u36,3,16639
u36,2,10478
u39,3,721
u39,1,517
u39,2,32
u41,1,8889
u41,3,2066
u41,2,1609
u42,3,11120
u42,1,8003
u42,2,1126
u43,1,19422
u43,3,12475
u43,2,3870
u44,1,7283
u44,3,4181
u44,2,903
u45,3,28352
u45,1,8661
u45,2,901
u46,1,36947
u46,2,12561
u46,3,13649
u47,3,10056
u47,1,12077
u47,2,1324
u49,1,25929
u49,3,10031
u49,2,4266
u50,3,6639
u50,1,4536
u50,2,84
u51,1,27029
u51,3,11589
u51,2,9591
u52,1,21951
u52,3,13987
u52,2,18918
u53,1,9991
u53,3,7766
u53,2,678
u54,1,18317
u54,3,9112
u54,2,2733
u56,3,14822
u56,1,17574
u56,2,4375
u57,1,30212
u57,3,17584
u57,2,14446
u58,1,16549
u58,3,9793
u58,2,2957
u59,3,95518
u59,1,142134
u59,2,33104
