uid,course
u01,"ENGS 069"
u01,"ENGS 022"
u01,"ANTH 012"
u02,"COSC 077"
u02,"COSC 098"
u02,"COSC 065"
u03,"COSC 057"
u03,"COSC 065"
u04,"COSC 065"
u05,"COSC 050"
u05,"PSYC 028"
u05,"COSC 065"
u07,"COSC 077"
u07,"COSC 060"
u07,"COSC 065"
u08,"CHIN 062"
u08,"COSC 089 1"
u08,"COSC 065"
u09,"ANTH 050"
u09,"COSC 065"
u09,"COSC 099"
u10,"COSC 050"
u10,"BIOL 004"
u10,"COSC 065"
u12,"COSC 089 1"
u12,"COSC 050"
u12,"TUCK 003"
u12,"COSC 065"
u13,"COSC 070"
u13,"COSC 065"
u14,"COSC 065"
u14,"COSC 027"
u14,"COSC 020"
u15,"EARS 003"
u15,"SPAN 003"
u15,"COSC 065"
u16,"COSC 065"
u16,"COSC 027"
u17,"COSC 089 1"
u17,"MUS 016"
u17,"COSC 065"
u18,"COSC 089 1"
u18,"CHIN 033"
u18,"TUCK 003"
u18,"COSC 065"
u19,"COSC 050"
u19,"COSC 065"
u19,"FILM 051"
u20,"COSC 070"
u20,"COSC 065"
u22,"COSC 050"
u22,"NAS 035"
u22,"COSC 065"
u23,"COSC 070"
u23,"COSC 065"
u24,"M&SS 045"
u24,"COSC 060"
u24,"COSC 065"
u25,"NAS 008"
u25,"COSC 065"
u25,"ENGL 028"
u27,"ECON 024"
u27,"JAPN 033"
u27,"FILM 042"
u27,"COSC 065"
u30,"MUS 003"
u30,"COSC 050"
u30,"COSC 065"
u31,"MUS 003"
u31,"COSC 077"
u31,"COSC 065"
u32,"MATH 023"
u32,"COSC 069"
u32,"COSC 065"
u33,"ENGS 025"
u33,"ENGS 069"
u33,"ENGS 093"
u34,"COSC 070"
u34,"COSC 065"
u35,"COSC 070"
u35,"COSC 065"
u41,"COSC 050"
u41,"SPAN 002"
u41,"COSC 065"
u42,"COSC 070"
u42,"COSC 065"
u43,"ENGS 031"
u43,"COSC 065"
u44,"COSC 060"
u44,"COSC 065"
u45,"COSC 070"
u45,"COSC 065"
u46,"ECON 036"
u46,"COSC 050"
u46,"COSC 065"
u47,"COSC 060"
u47,"COSC 065"
u49,"MATH 013"
u49,"LAT 003"
u49,"COSC 065"
u50,"COSC 060"
u50,"COSC 065"
u51,"COSC 070"
u51,"COSC 065"
u52,"BIOL 006"
u52,"COSC 050"
u52,"COSC 065"
u53,"COSC 089 1"
u53,"COSC 065"
u54,"ENGS 025"
u54,"MATH 023"
u54,"COSC 065"
u57,"COSC 098"
u57,"COSC 060"
u57,"COSC 065"
u58,"COSC 070"
u58,"COSC 065"
u59,"GERM 001"
u59,"COSC 065"
u59,"COSC 007"
